Item,Type,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Sugar(g),Protein(g)
Bacon Club Chalupa,Entree,440,240,27,5,0,50,840,31,3,20
Blue Raspberry Freeze™ (16 oz),Drink,120,0,0,0,0,0,35,30,30,0
Blue Raspberry Freeze™ (20 oz),Drink,150,0,0,0,0,0,40,38,38,0
Loaded Nacho Taco,Entree,250,110,12,4.5,0,25,610,24,2,10
Midnight Berry Freeze™ (16 oz),Drink,140,0,0,0,0,0,35,35,34,0
Midnight Berry Freeze™ (20 oz),Drink,170,0,0,0,0,0,40,43,42,0
Nacho Fries,Side,320,160,18,1.5,0,2.5,630,35,2,4
Nacho Fries BellGrande®,Entree,710,360,40,6,0,30,"1,440",73,4,13
Chalupa Supreme-Beef,Entree,350,170,18,5,0,25,560,33,3,13
Chalupa Supreme-Chicken,Entree,330,140,15,3.5,0,35,560,31,3,16
Chalupa Supreme-Steak,Entree,330,140,16,4,0,30,530,32,3,15
Cheesy Gordita Crunch,Entree,500,250,28,10,0.5,55,850,41,4,20
Crunchy Taco,Entree,170,80,9,3.5,0,25,310,13,0.5,8
Crunchy Taco Supreme,Entree,190,100,11,4.5,0,25,340,15,2,8
Loaded Nacho Taco (New),Entree,250,110,12,4.5,0,25,610,24,2,10
Nacho Cheese Doritos Locos Taco,Entree,170,80,9,3.5,0,25,360,13,0.5,8
Nacho Cheese Doritos Locos Taco Supreme,Entree,190,100,11,4.5,0,30,380,15,2,8
Soft Taco-Beef,Entree,180,80,9,4,0,25,500,17,1,9
Soft Taco-Chicken,Entree,160,50,5,2.5,0,30,500,16,1,12
Soft Taco Supreme-Beef,Entree,210,90,10,5,0,25,520,20,2,10
Soft Taco Supreme-Chicken,Entree,180,60,7,3.5,0,35,520,18,2,13
Bean Burrito (V),Entree,350,80,9,3.5,0,5,"1,000",54,3,13
Beefy 5-Layer Burrito,Entree,490,160,18,7,0,30,"1,250",63,5,18
Burrito Supreme-Beef,Entree,390,130,14,6,0,25,"1,110",51,4,16
Burrito Supreme-Chicken,Entree,370,100,11,4.5,0,35,"1,110",49,4,19
Burrito Supreme-Steak,Entree,370,110,12,5,0,30,"1,090",49,4,18
Chili Cheese Burrito (regional),Entree,370,150,17,8,0,35,970,40,2,16
Quesarito-Beef,Entree,650,300,33,12,0.5,55,"1,390",67,5,22
Quesarito-Chicken,Entree,620,270,29,11,0,65,"1,390",66,4,25
Quesarito-Steak,Entree,630,270,30,11,0,60,"1,370",66,4,24
Chips and Nacho Cheese Sauce (V),Side,220,120,13,1.5,0,<5,250,24,2,2
Nacho Fries (V) (New),Side,320,160,18,1.5,0,<5,630,35,2,4
Nacho Fries BellGrande® (New),Entree,710,360,40,6,0,30,"1,440",73,4,13
Nachos BellGrande-Beef,Entree,740,340,38,7,0,25,"1,050",82,5,16
Nachos BellGrande-Chicken,Entree,720,310,35,6,0,35,"1,050",81,5,20
Nachos BellGrande-Steak,Entree,720,320,36,6,0,30,"1,030",81,5,19
Beef Quesarito,Entree,650,300,33,12,0.5,55,"1,390",67,5,22
Black Bean Quesarito (V),Entree,630,270,29,10,0,35,"1,260",73,5,19
Quesadilla-Cheese (V),Entree,470,230,25,12,0.5,50,990,37,2,19
Quesadilla-Chicken,Entree,510,240,26,12,0.5,75,"1,250",38,2,27
Quesadilla-Steak,Entree,520,240,27,12,0.5,70,"1,230",38,2,27
Bacon Club Chalupa,Entree,440,240,27,5,0,50,840,31,3,20
Black Bean Chalupa ,Entree,330,140,15,3,0,10,430,39,3,10
